Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2017,1,January,2017-01,10052.0,Class 11
2017,1,January,2017-01,215745.0,Class 2
2017,1,January,2017-01,70933.0,Class 3
2017,1,January,2017-01,52596.0,Class 4
2017,1,January,2017-01,224119.0,Class 5
2017,1,January,2017-01,5731.0,Class 6
2017,1,January,2017-01,13581.0,Class 7
2017,1,January,2017-01,81986.0,Class 8
2017,1,January,2017-01,147818.0,Class 9
2017,2,February,2017-02,7678903.0,Class 1
2017,2,February,2017-02,11286.0,Class 11
2017,2,February,2017-02,201662.0,Class 2
2017,2,February,2017-02,69553.0,Class 3
2017,2,February,2017-02,50891.0,Class 4
2017,2,February,2017-02,203647.0,Class 5
2017,2,February,2017-02,5371.0,Class 6
2017,2,February,2017-02,14260.0,Class 7
2017,2,February,2017-02,76045.0,Class 8
2017,2,February,2017-02,135526.0,Class 9
2017,3,March,2017-03,8550832.0,Class 1
2017,3,March,2017-03,10767.0,Class 11
2017,3,March,2017-03,234968.0,Class 2
2017,3,March,2017-03,75819.0,Class 3
2017,3,March,2017-03,57062.0,Class 4
2017,3,March,2017-03,240126.0,Class 5
2017,3,March,2017-03,6675.0,Class 6
2017,3,March,2017-03,15485.0,Class 7
2017,3,March,2017-03,86521.0,Class 8
2017,3,March,2017-03,155405.0,Class 9
2017,4,April,2017-04,9106036.0,Class 1
2017,4,April,2017-04,20984.0,Class 11
2017,4,April,2017-04,220952.0,Class 2
2017,4,April,2017-04,69079.0,Class 3
2017,4,April,2017-04,54779.0,Class 4
2017,4,April,2017-04,229231.0,Class 5
2017,4,April,2017-04,6280.0,Class 6
2017,4,April,2017-04,16055.0,Class 7
2017,4,April,2017-04,85841.0,Class 8
2017,4,April,2017-04,154123.0,Class 9
2017,5,May,2017-05,9389174.0,Class 1
2017,5,May,2017-05,22726.0,Class 11
2017,5,May,2017-05,248656.0,Class 2
2017,5,May,2017-05,75534.0,Class 3
2017,5,May,2017-05,58573.0,Class 4
2017,5,May,2017-05,253756.0,Class 5
2017,5,May,2017-05,7896.0,Class 6
2017,5,May,2017-05,17217.0,Class 7
2017,5,May,2017-05,92523.0,Class 8
2017,5,May,2017-05,167078.0,Class 9
2017,6,June,2017-06,9409240.0,Class 1
2017,6,June,2017-06,27956.0,Class 11
2017,6,June,2017-06,252765.0,Class 2
2017,6,June,2017-06,77117.0,Class 3
2017,6,June,2017-06,60301.0,Class 4
2017,6,June,2017-06,250536.0,Class 5
2017,6,June,2017-06,7709.0,Class 6
2017,6,June,2017-06,17057.0,Class 7
2017,6,June,2017-06,92812.0,Class 8
2017,6,June,2017-06,166572.0,Class 9
2017,7,July,2017-07,9747742.0,Class 1
2017,7,July,2017-07,27567.0,Class 11
2017,7,July,2017-07,233153.0,Class 2
2017,7,July,2017-07,71035.0,Class 3
2017,7,July,2017-07,55404.0,Class 4
2017,7,July,2017-07,231916.0,Class 5
2017,7,July,2017-07,6793.0,Class 6
2017,7,July,2017-07,16563.0,Class 7
2017,7,July,2017-07,97962.0,Class 8
2017,7,July,2017-07,163937.0,Class 9
2017,8,August,2017-08,9832505.0,Class 1
2017,8,August,2017-08,28969.0,Class 11
2017,8,August,2017-08,256184.0,Class 2
2017,8,August,2017-08,80620.0,Class 3
2017,8,August,2017-08,62501.0,Class 4
2017,8,August,2017-08,251288.0,Class 5
2017,8,August,2017-08,7160.0,Class 6
2017,8,August,2017-08,17929.0,Class 7
2017,8,August,2017-08,97410.0,Class 8
2017,8,August,2017-08,170760.0,Class 9
2017,9,September,2017-09,9168278.0,Class 1
2017,9,September,2017-09,29266.0,Class 11
2017,9,September,2017-09,240146.0,Class 2
2017,9,September,2017-09,78978.0,Class 3
2017,9,September,2017-09,59329.0,Class 4
2017,9,September,2017-09,229666.0,Class 5
2017,9,September,2017-09,6613.0,Class 6
2017,9,September,2017-09,15801.0,Class 7
2017,9,September,2017-09,87965.0,Class 8
2017,9,September,2017-09,155851.0,Class 9
2017,10,October,2017-10,9351370.0,Class 1
2017,10,October,2017-10,23388.0,Class 11
2017,10,October,2017-10,249060.0,Class 2
2017,10,October,2017-10,82696.0,Class 3
2017,10,October,2017-10,61663.0,Class 4
2017,10,October,2017-10,244646.0,Class 5
2017,10,October,2017-10,7041.0,Class 6
2017,10,October,2017-10,16606.0,Class 7
2017,10,October,2017-10,93513.0,Class 8
2017,10,October,2017-10,165331.0,Class 9
2017,11,November,2017-11,9001695.0,Class 1
2017,11,November,2017-11,15243.0,Class 11
2017,11,November,2017-11,240438.0,Class 2
2017,11,November,2017-11,76980.0,Class 3
2017,11,November,2017-11,57839.0,Class 4
2017,11,November,2017-11,238527.0,Class 5
2017,11,November,2017-11,6968.0,Class 6
2017,11,November,2017-11,14500.0,Class 7
2017,11,November,2017-11,89009.0,Class 8
2017,11,November,2017-11,156487.0,Class 9
2017,12,December,2017-12,9168669.0,Class 1
2017,12,December,2017-12,12229.0,Class 11
2017,12,December,2017-12,229466.0,Class 2
2017,12,December,2017-12,75731.0,Class 3
2017,12,December,2017-12,54512.0,Class 4
2017,12,December,2017-12,228823.0,Class 5
2017,12,December,2017-12,6939.0,Class 6
2017,12,December,2017-12,12800.0,Class 7
2017,12,December,2017-12,89366.0,Class 8
2017,12,December,2017-12,152009.0,Class 9
2018,1,January,2018-01,8175302.0,Class 1
2018,1,January,2018-01,10006.0,Class 11
2018,1,January,2018-01,224885.0,Class 2
2018,1,January,2018-01,76673.0,Class 3
2018,1,January,2018-01,53286.0,Class 4
2018,1,January,2018-01,224992.0,Class 5
2018,1,January,2018-01,6176.0,Class 6
2018,1,January,2018-01,13012.0,Class 7
2018,1,January,2018-01,81782.0,Class 8
2018,1,January,2018-01,150077.0,Class 9
2018,2,February,2018-02,7792347.0,Class 1
2018,2,February,2018-02,10744.0,Class 11
2018,2,February,2018-02,208915.0,Class 2
2018,2,February,2018-02,72862.0,Class 3
2018,2,February,2018-02,48959.0,Class 4
2018,2,February,2018-02,209335.0,Class 5
2018,2,February,2018-02,5917.0,Class 6
2018,2,February,2018-02,12810.0,Class 7
2018,2,February,2018-02,78111.0,Class 8
2018,2,February,2018-02,140068.0,Class 9
2018,3,March,2018-03,8723599.0,Class 1
2018,3,March,2018-03,11919.0,Class 11
2018,3,March,2018-03,234584.0,Class 2
2018,3,March,2018-03,80647.0,Class 3
2018,3,March,2018-03,54707.0,Class 4
